"Investment","Bonus","Rollover","Betsize","Win_prob","Vig","Scencount","prob_of_ruin","expected_return","exp_gobroke"
2000,1000,14,10,0.5,110,1000,0.105,700.640462727194,719.578679090835
2000,1000,14,10,0.51,110,1000,0.016,1236.04499545444,1237.00863727262
2000,1000,14,10,0.52,110,1000,0,1768.71953090897,1768.71953090897
2000,1000,14,10,0.53,110,1000,0,2303.28406454533,2303.28406454533
2000,1000,14,10,0.54,110,1000,0,2841.87678181806,2841.87678181806
2000,1000,14,10,0.55,110,1000,0,3378.57950090896,3378.57950090896
2000,1000,14,20,0.5,110,1000,0.231,685.042743636372,748.27204363637
2000,1000,14,20,0.51,110,1000,0.083,1226.42271818182,1233.64097636364
2000,1000,14,20,0.52,110,1000,0.011,1759.44087999998,1759.22997999998
2000,1000,14,20,0.53,110,1000,0,2297.61358363631,2297.61358363631
2000,1000,14,20,0.54,110,1000,0,2831.8153818181,2831.8153818181
2000,1000,14,20,0.55,110,1000,0,3368.42263818172,3368.42263818172
2000,1000,14,30,0.5,110,1000,0.272,701.495024545463,802.059001818191
2000,1000,14,30,0.51,110,1000,0.12,1239.68680454547,1267.9360618182
2000,1000,14,30,0.52,110,1000,0.049,1773.29677454549,1774.37865545458
2000,1000,14,30,0.53,110,1000,0.008,2311.0303754546,2309.84765636369
2000,1000,14,30,0.54,110,1000,0.003,2846.41580000007,2844.77671454552
2000,1000,14,30,0.55,110,1000,0,3382.54577545462,3382.54577545462
2000,1000,14,40,0.5,110,1000,0.33,698.710941818173,830.373345454539
2000,1000,14,40,0.51,110,1000,0.162,1239.89998181818,1279.39117090909
2000,1000,14,40,0.52,110,1000,0.065,1770.93266909091,1779.71096
2000,1000,14,40,0.53,110,1000,0.022,2302.95807636365,2303.45265454546
2000,1000,14,40,0.54,110,1000,0.007,2842.54349090911,2842.03440727274
2000,1000,14,40,0.55,110,1000,0.003,3382.28164000002,3381.47437090911
2000,1000,14,50,0.5,110,1000,0.348,714.002313636373,866.593950000007
2000,1000,14,50,0.51,110,1000,0.206,1257.61588636365,1306.53448181819
2000,1000,14,50,0.52,110,1000,0.105,1791.39765454547,1795.02513636365
2000,1000,14,50,0.53,110,1000,0.035,2327.37486818183,2329.41131363637
2000,1000,14,50,0.54,110,1000,0.015,2867.74300000001,2866.47484545455
2000,1000,14,50,0.55,110,1000,0.005,3410.49750454546,3408.38842272727
2000,1000,14,100,0.5,110,1000,0.441,718.491355454553,972.018450909097
2000,1000,14,100,0.51,110,1000,0.334,1254.94591363637,1369.80031909092
2000,1000,14,100,0.52,110,1000,0.231,1777.84592363637,1798.4640009091
2000,1000,14,100,0.53,110,1000,0.139,2315.06411727274,2301.02769727274
2000,1000,14,100,0.54,110,1000,0.075,2858.2004909091,2841.26409818183
2000,1000,14,100,0.55,110,1000,0.036,3401.7186809091,3392.14594272728
2000,1000,17,10,0.5,110,1000,0.253,427.13046272719,492.616026363567
2000,1000,17,10,0.51,110,1000,0.041,1080.13499545443,1085.7250081817
2000,1000,17,10,0.52,110,1000,0.001,1726.78225818168,1726.74771272713
2000,1000,17,10,0.53,110,1000,0,2373.60133727258,2373.60133727258
2000,1000,17,10,0.54,110,1000,0,3024.02859999985,3024.02859999985
2000,1000,17,10,0.55,110,1000,0,3677.77768272712,3677.77768272712
2000,1000,17,20,0.5,110,1000,0.364,409.260925454553,554.033978181824
2000,1000,17,20,0.51,110,1000,0.136,1063.58271818182,1093.93556545454
2000,1000,17,20,0.52,110,1000,0.029,1708.8936072727,1713.12271999997
2000,1000,17,20,0.53,110,1000,0.001,2359.16812909084,2359.17176727266
2000,1000,17,20,0.54,110,1000,0,3010.12992727262,3010.12992727262
2000,1000,17,20,0.55,110,1000,0,3662.50445636351,3662.50445636351
2000,1000,17,30,0.5,110,1000,0.42,407.004115454553,619.448291818191
2000,1000,17,30,0.51,110,1000,0.199,1063.23498636366,1119.50888727275
2000,1000,17,30,0.52,110,1000,0.073,1710.58859272731,1718.29505727277
2000,1000,17,30,0.53,110,1000,0.014,2362.86764818188,2361.59493727279
2000,1000,17,30,0.54,110,1000,0.003,3011.59580000008,3009.80126000008
2000,1000,17,30,0.55,110,1000,0,3662.27123000008,3662.27123000008
2000,1000,17,40,0.5,110,1000,0.447,421.630941818172,662.504483636358
2000,1000,17,40,0.51,110,1000,0.248,1077.67089090908,1153.10404727272
2000,1000,17,40,0.52,110,1000,0.101,1726.60903272727,1746.06739636364
2000,1000,17,40,0.53,110,1000,0.037,2377.15080363638,2373.8490509091
2000,1000,17,40,0.54,110,1000,0.011,3029.75440000002,3027.50350545456
2000,1000,17,40,0.55,110,1000,0.003,3683.5798218182,3681.37618909093
2000,1000,17,50,0.5,110,1000,0.479,417.984131818193,699.676086363643
2000,1000,17,50,0.51,110,1000,0.295,1075.66588636365,1176.58470454546
2000,1000,17,50,0.52,110,1000,0.152,1722.17947272728,1736.89797272728
2000,1000,17,50,0.53,110,1000,0.051,2369.07486818183,2371.09315909092
2000,1000,17,50,0.54,110,1000,0.019,3024.56118181819,3022.22485909091
2000,1000,17,50,0.55,110,1000,0.007,3679.37932272727,3676.00660454545
2000,1000,17,100,0.5,110,1000,0.559,385.245900909099,811.936576363642
2000,1000,17,100,0.51,110,1000,0.404,1041.78227727274,1252.75483636364
2000,1000,17,100,0.52,110,1000,0.284,1680.18228727274,1735.50943636365
2000,1000,17,100,0.53,110,1000,0.19,2329.27320818183,2316.6004009091
2000,1000,17,100,0.54,110,1000,0.1,2993.82776363638,2972.04590545456
2000,1000,17,100,0.55,110,1000,0.044,3654.75504454547,3643.34594000002
2000,1000,20,10,0.5,110,1000,0.444,155.453189999916,313.438841818125
2000,1000,20,10,0.51,110,1000,0.078,923.251359090782,941.944113636242
2000,1000,20,10,0.52,110,1000,0.007,1683.35589454529,1683.36226090893
2000,1000,20,10,0.53,110,1000,0,2442.23860999983,2442.23860999983
2000,1000,20,10,0.54,110,1000,0,3208.146781818,3208.146781818
2000,1000,20,10,0.55,110,1000,0,3975.83040999982,3975.83040999982
2000,1000,20,20,0.5,110,1000,0.494,139.89365272728,408.412274545459
2000,1000,20,20,0.51,110,1000,0.198,905.439081818182,973.21744181818
2000,1000,20,20,0.52,110,1000,0.052,1665.33360727269,1673.2136563636
2000,1000,20,20,0.53,110,1000,0.008,2431.41358363628,2431.37176909083
2000,1000,20,20,0.54,110,1000,0,3200.70083636351,3200.70083636351
2000,1000,20,20,0.55,110,1000,0,3967.27718363621,3967.27718363621
2000,1000,20,30,0.5,110,1000,0.529,117.26684272728,463.649375454554
2000,1000,20,30,0.51,110,1000,0.284,890.563168181841,987.363541818206
2000,1000,20,30,0.52,110,1000,0.105,1651.3167745455,1662.79056636368
2000,1000,20,30,0.53,110,1000,0.026,2420.14583000008,2415.75040272735
2000,1000,20,30,0.54,110,1000,0.003,3181.47216363646,3179.57944181827
2000,1000,20,30,0.55,110,1000,0,3946.63577545463,3946.63577545463
2000,1000,20,40,0.5,110,1000,0.543,128.209123636352,533.024639999996
2000,1000,20,40,0.51,110,1000,0.32,898.79452727272,1037.78417090909
2000,1000,20,40,0.52,110,1000,0.146,1661.36176,1691.78384727273
2000,1000,20,40,0.53,110,1000,0.052,2428.96898545456,2424.55453454547
2000,1000,20,40,0.54,110,1000,0.013,3188.93985454547,3184.13260000002
2000,1000,20,40,0.55,110,1000,0.003,3955.17254909092,3951.64891636365
2000,1000,20,50,0.5,110,1000,0.578,133.802313636376,568.603590909098
2000,1000,20,50,0.51,110,1000,0.367,903.834068181831,1061.52123181819
2000,1000,20,50,0.52,110,1000,0.193,1667.18401818183,1694.71172272728
2000,1000,20,50,0.53,110,1000,0.077,2428.43395909092,2427.89322272728
2000,1000,20,50,0.54,110,1000,0.025,3197.60663636364,3191.2476
2000,1000,20,50,0.55,110,1000,0.011,3967.63841363635,3961.34298181817
2000,1000,20,100,0.5,110,1000,0.626,114.0459009091,710.027452727278
2000,1000,20,100,0.51,110,1000,0.464,887.418640909102,1177.42753272728
2000,1000,20,100,0.52,110,1000,0.331,1644.94592363638,1722.40941636365
2000,1000,20,100,0.53,110,1000,0.228,2408.0095718182,2378.39129181819
2000,1000,20,100,0.54,110,1000,0.123,3184.05503636365,3138.01862363638
2000,1000,20,100,0.55,110,1000,0.055,3963.91868090911,3937.69138818183
